Symbol,Nazwa,Otwarcie,Max,Min,Kurs,Zmiana,Wolumen,Obrót,Data
11B,11BIT,474.0,484.0,465.4,480.0,+2.13%,19.9k,9.57m,18 cze
ALR,ALIOR,35.10,35.10,34.13,34.21,-2.26%,810k,27.9m,18 cze
AMC,AMICA,174.0,175.8,170.0,170.0,-2.52%,11k,1.9m,18 cze
ASE,ASSECOSEE,39.9,40.0,39.0,39.0,-2.26%,5.89k,231k,18 cze
ATT,GRUPAAZOTY,34.46,34.70,33.26,33.26,-3.48%,238k,7.97m,18 cze
BDX,BUDIMEX,283.0,287.0,280.5,282.0,-1.23%,20.8k,5.91m,18 cze
BFT,BENEFIT,900,937,877,937,+2.40%,1.01k,917k,18 cze
BHW,HANDLOWY,47.35,47.90,46.15,46.95,-0.84%,74.2k,3.48m,18 cze
BML,BIOMEDLUB,9.902,10.040,9.880,9.900,+0.20%,213k,2.12m,18 cze
CAR,INTERCARS,369,377,361,361,-2.43%,9.73k,3.53m,18 cze
CIE,CIECH,47.80,48.90,47.50,48.65,+1.78%,80.8k,3.92m,18 cze
CLN,CLNPHARMA,44.35,45.15,44.35,45.00,+0.45%,17.9k,801k,18 cze
CMR,COMARCH,246,248,236,236,-4.07%,4.26k,1.03m,18 cze
DAT,DATAWALK,170.0,176.8,169.0,175.0,+1.98%,3.05k,529k,18 cze
DOM,DOMDEV,143.40,146.20,141.40,145.00,+1.97%,20.4k,2.95m,18 cze
DVL,DEVELIA,3.215,3.400,3.165,3.170,-2.16%,340k,1.1m,18 cze
EAT,AMREST,30.10,30.54,28.02,29.68,-1.26%,378k,11.2m,18 cze
ECH,ECHO,4.350,4.465,4.350,4.400,+0.23%,503k,2.21m,18 cze
ENA,ENEA,9.175,9.265,9.040,9.040,-2.06%,904k,8.22m,18 cze
EUR,EUROCASH,15.300,15.400,15.030,15.090,-1.82%,401k,6.09m,18 cze
FMF,FAMUR,2.305,2.320,2.250,2.255,-2.80%,489k,1.11m,18 cze
GPW,GPW,48.70,49.22,48.00,48.00,-2.20%,119k,5.75m,18 cze
GTC,GTC,6.40,6.45,6.29,6.29,-1.56%,994k,6.33m,18 cze
ING,INGBSK,187.6,191.0,184.2,184.2,-2.13%,62.4k,11.6m,18 cze
KER,KERNEL,57.6,57.8,56.6,56.8,-1.56%,335k,19.1m,18 cze
KRU,KRUK,274.2,282.2,272.8,273.6,-0.22%,40.7k,11.2m,18 cze
KTY,KETY,616,626,614,615,-0.65%,14k,8.63m,18 cze
LVC,LIVECHAT,123.8,130.0,123.6,129.4,+4.52%,41.7k,5.32m,18 cze
MBK,MBANK,299.8,310.0,297.0,310.0,+3.68%,90.6k,27.7m,18 cze
MIL,MILLENNIUM,4.794,4.894,4.750,4.850,+2.11%,2.59m,12.6m,18 cze
NEU,NEUCA,780,789,780,789,+0.13%,2.14k,1.68m,18 cze
OAT,OAT,47.60,49.00,46.60,48.75,+2.52%,12.3k,589k,18 cze
PEP,PEP,73.8,74.0,71.6,72.5,0.00%,16.3k,1.18m,18 cze
PKP,PKPCARGO,21.70,21.85,21.55,21.70,+0.46%,48.8k,1.06m,18 cze
PLW,PLAYWAY,481.8,481.8,464.4,464.4,-2.44%,5.21k,2.44m,18 cze
SLV,SELVITA,75.6,75.6,73.5,75.0,+0.54%,41.1k,3.07m,18 cze
STP,STALPROD,383.0,390.0,374.5,381.0,-0.52%,6.04k,2.3m,18 cze
TEN,TSGAMES,445.6,453.4,441.4,442.8,-0.63%,14.6k,6.48m,18 cze
WPL,WIRTUALNA,109.0,110.8,103.0,108.0,-0.18%,21.5k,2.31m,18 cze
XTB,XTB,17.30,17.64,17.26,17.34,+0.52%,216k,3.75m,18 cze
